id	gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
ACROYT_G033204	Ocupat_v02_G033204	HLH:like:Hes1/Hes2/Hes3/Hes5/Hes6/Hes7	HLH/Hairy_orange	87	12.43	2.17	yes
ACROYT_G037830	Ocupat_v02_G037830	Atad5	AAA	67	12.5	2.17	no
ACROYT_G038723	Ocupat_v02_G038723	NFYB_NFYC:NA	CENP-X	53	33.54	2.17	no
ACROYT_G007569	Ocupat_v02_G007569	Prrt2/Syndig1/Syndig1l/Tmem233/Tmem91/Trarg1	CD225	82	5.43	2.16	no
ACROYT_G027406	Ocupat_v02_G027406			250	2.32	2.16	no
ACROYT_G009734	Ocupat_v02_G009734	Snrpd3	LSM	88	5.31	2.15	no
ACROYT_G009007	Ocupat_v02_G009007	Guca1a/Hpca/Hpcal1/Ncald	EF-hand_8/EF-hand_7	168	3.25	2.14	no
ACROYT_G009463	Ocupat_v02_G009463	Tuba1a/Tuba1b/Tuba1c/Tuba3a/Tuba3b/Tuba4a	Tubulin/Tubulin_C	159	2.51	2.14	no
ACROYT_G012634	Ocupat_v02_G012634		CAP	89	15.34	2.14	no
ACROYT_G002131	Ocupat_v02_G002131			333	75.17	2.13	no
ACROYT_G028240	Ocupat_v02_G028240	HMGbox_Sox:Sox1/Sox2/Sox3	HMG_box/SOXp	74	5.34	2.13	yes
ACROYT_G008016	Ocupat_v02_G008016			68	23.13	2.12	no
ACROYT_G026273	Ocupat_v02_G026273	Radx	Rep-A_N/DUF5521	39	10.92	2.12	no
ACROYT_G023635	Ocupat_v02_G023635		PDZ/PDZ	62	10.86	2.1	no
ACROYT_G027933	Ocupat_v02_G027933	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	59	12.34	2.09	no
ACROYT_G027936	Ocupat_v02_G027936			56	22.4	2.09	no
ACROYT_G016881	Ocupat_v02_G016881		GREB1/GREB1	59	14.05	2.08	no
ACROYT_G025369	Ocupat_v02_G025369	Slc34a1/Slc34a2/Slc34a3	Na_Pi_cotrans/Na_Pi_cotrans	145	3.92	2.08	no
ACROYT_G025403	Ocupat_v02_G025403	Sost/Sostdc1	Sclerostin	91	10.29	2.08	no
ACROYT_G008980	Ocupat_v02_G008980	Mtfr1/Mtfr1l/Mtfr2	Mito_fiss_reg	74	75.51	2.07	no
ACROYT_G009871	Ocupat_v02_G009871	Ptrh2	PTH2	47	10.56	2.07	no
ACROYT_G039442	Ocupat_v02_G039442	Clspn		55	31.98	2.07	no
ACROYT_G039792	Ocupat_v02_G039792		Zona_pellucida	62	2.24	2.07	no
ACROYT_G003158	Ocupat_v02_G003158	Odf2/Odf2l		36	32.73	2.06	no
ACROYT_G020221	Ocupat_v02_G020221	Sclt1	CCCAP	50	8.35	2.06	no
ACROYT_G024004	Ocupat_v02_G024004	Hmox1/Hmox2		189	3.42	2.06	no
ACROYT_G010875	Ocupat_v02_G010875		Lipase_GDSL_2/RVT_1/Carb_anhydrase	760	2.33	2.05	no
ACROYT_G010147	Ocupat_v02_G010147	Rpa2	RPA_C	46	11.98	2.05	no
ACROYT_G040771	Ocupat_v02_G040771			41	12.2	2.05	no
ACROYT_G030204	Ocupat_v02_G030204			58	2.83	2.04	no
ACROYT_G037003	Ocupat_v02_G037003			38	62.3	2.04	no
ACROYT_G038277	Ocupat_v02_G038277	Dbh/Moxd1/Moxd2	DOMON/DOMON	106	3.96	2.04	no
ACROYT_G010190	Ocupat_v02_G010190		Tropomyosin	38	1.99	2.03	no
ACROYT_G027132	Ocupat_v02_G027132	Cntrob		112	3.95	2.03	no
ACROYT_G027663	Ocupat_v02_G027663			44	1.94	2.03	no
ACROYT_G032430	Ocupat_v02_G032430			42	16.87	2.03	no
ACROYT_G034710	Ocupat_v02_G034710	Sp5/Sp6	zf-C2H2/zf-C2H2/zf-C2H2	52	4.15	2.03	yes
ACROYT_G003454	Ocupat_v02_G003454	Odf3l2/Stpg3	SHIPPO-rpt/SHIPPO-rpt/C2/C2	355	8.26	2.02	no
ACROYT_G009466	Ocupat_v02_G009466	Tuba1a/Tuba1b/Tuba1c/Tuba3a/Tuba3b/Tuba4a	Tubulin/Tubulin_C	123	2.25	2.02	no
ACROYT_G031374	Ocupat_v02_G031374	Rbbp8		36	35.29	2.02	no
ACROYT_G033105	Ocupat_v02_G033105	Snrpf	LSM	113	4.93	2.02	no
ACROYT_G036224	Ocupat_v02_G036224	Nek2	Pkinase	36	52.17	2.02	no
ACROYT_G004637	Ocupat_v02_G004637	Tacc1/Tacc2/Tacc3	TACC_C	68	4.63	2.01	no
ACROYT_G023394	Ocupat_v02_G023394	Cep250/Crocc/Crocc2		47	7.39	2.01	no
ACROYT_G024246	Ocupat_v02_G024246		C2/C2	41	13.27	2	no
ACROYT_G029328	Ocupat_v02_G029328		I-set/fn3/fn3	126	4.06	2	no
ACROYT_G033365	Ocupat_v02_G033365		CUB/CUB/CUB/F5_F8_type_C/CUB	75	5.35	2	no
